; event			event_type
; frequency		in years
; winter		only occurs in winter 
; summer		only occurs in summer
; warning		provides a one year warning
; position		position event can occur in strat coords [can specify multiple positions on consecutive lines]
; region		region event can occur by region name [can specify multiple regions on consecutive lines]
; climate		climate event can occur by climate name [can specify multiple climates on consecutive lines]
; min_scale		minimum size for event
; max_scale		maximum size for event


event		earthquake
frequency	5
winter		true
summer		true
warning		false
climate		semi_arid
climate		highland
climate		alpine
climate		temperate_forest_deep
climate		temperate_grassland_fertile
climate		test_climate
climate		sub_arctic
min_scale	2
max_scale	10

event		volcano
frequency	19
winter		true
summer		true
warning		false
min_scale	5
max_scale	10

event		flood
frequency	5
winter		true
summer		true
warning		false
climate		swamp
climate		temperate_grassland_fertile
min_scale	5
max_scale	10

event		storm
frequency	5
winter		true
summer		true
warning		false
region		the sea
min_scale	2
max_scale	10

;event		horde
;frequency	10
;winter		false
;summer		false
;warning		false
;region		the sea
;climate		temperate_forest_deep
;min_scale	2
;max_scale	5

;event		dustbowl
;frequency	8
;winter		false
;summer		false
;warning		false
;climate		sandy_desert
;min_scale	2
;max_scale	5

;event		locusts
;frequency	30
;winter		false
;summer		false
;warning		false
;climate		sandy_desert
;climate		rocky_desert
;climate		semi_arid
;climate		sub_arctic
;min_scale	2
;max_scale	5

event		plague
frequency	5
winter		false
summer		false
min_scale	2
max_scale	10



